,first,second,preferred,
266,l lewis goldsmith,lewis goldsmith,,
267,lew wallace,lewis wallace,,
268,l lily dougall,lily dougall,,
269,l lily dougall,lily dougall,,
270,lois bates,los bates,,
271,louisa de la rame,louise de la rame,,
272,louise de la rame,louise de la ramee,,
273,l louise lamprey,louise lamprey,,
274,ludovic halvy,ludovic halevy,,
275,ludovic halevy,ludovic halvy,,
276,l ludovic halvy,ludovic halvy,,
277,l ludwig tieck,ludwig tieck,,
278,ludwig van beethoven,ludwig von beethoven,,
279,louise mhlbach,luise mhlbach,,
280,lola kirschner,lula kirschner,,
281,franois guizot,m franois guizot,,
282,m franois guisot,m franois guizot,,
283,margaret sydney,margaret sidney,,
284,margaret sidney,margaret sydney,,
285,margratia loudon,margracia loudon,,
286,margracia loudon,margratia loudon,,
287,margracia loudon,margratia loudon,,
288,marie louise ram,maria louise rame,,
289,maria corelli,marie corelli,,
290,marie thrse louise de savoiecarignan lamballe,marie therese louise de savoiecarignan lamballe,,
291,marie therese louise de savoiecarignan lamballe,marie thrse louise de savoiecarignan lamballe,,
292,maksim gorky,maxim gorky,,
293,m michael faraday,michael faraday,,
294,michel de montagne,michel de montaigne,,
295,michel de montagne,michel de montaigne,,
296,michel de montagne,michel de montaigne,,
297,emile gaboriau,mile gaboriau,,
298,emile gaboriau,mile gaboriau,,
299,emile gaboriau,mile gaboriau,,
300,emile souvestre,mile souvestre,,
301,mr jkai,mor jokai,,
302,hosea quinby,moses quinby,,
303,mor jokai,mr jkai,,
304,neltje blanchon,neltje blanchan,,
305,n nicholas rowe,nicholas rowe,,
306,norman maclean,norman macleod,,
307,oliphant mrs margaret oliphant,olyphant mrs margaret oliphant,,
308,p percival leigh,percival leigh,,
309,philip dodderidge,philip doddridge,,
310,philip jos farmer,philip jose farmer,,
311,philip parker king,phillip parker king,,
312,pierre alexandre douard fleury de chaboulon,pierre alexandre edouard fleury de chaboulon,,
313,prosper merimee,prosper mrime,,
314,r randolph caldecott,randolph caldecott,,
315,raphael holynshed,raphael holingshed,,
316,raphael holinshed,raphaell holinshed,,
317,raphael holinshed,raphaell holinshed,,
318,rene bazin,ren bazin,,
319,rene bazin,ren bazin,,
320,rene bazin,ren bazin,,
321,ren bazin,rene bazin,,
322,ren bazin,rene bazin,,
323,rhodes apollonius,rhodius apollonius,,
324,rhodes apollonius,rhodius apollonius,,
325,richard hakluyt,richard hackluyt,,
326,richard hakluyt,richard hackluyt,,
327,richard hakluyt,richard hackluyt,,
328,richard hackluyt,richard hakluyt,,
329,richard hackluyt,richard hakluyt,,
330,richard hackluyt,richard hakluyt,,
331,richard hackluyt,richard hakluyt,,
332,r richard wagner,richard wagner,,
333,robert w rogers,robert rogers,,
334,robert sidney bowen,robert sydney bowen,,
335,robert a watson,robert watson,,
336,r rose macaulay,rose macaulay,,
337,r rudyard kipling,rudyard kipling,,
338,r rudyard kipling,rudyard kipling,,
339,s sabine baringgould,sabine baringgould,,
340,s sabine baringgould,sabine baringgould,,
341,s sabine baringgould,sabine baringgould,,
342,samual hall young,samuel hall young,,
343,s samuel lover,samuel lover,,
344,sarah tytler,sara tytler,,
345,sara tytler,sarah tytler,,
346,sara tytler,sarah tytler,,
347,snorro sturleson,snorri sturluson,,
348,stephen ostrander,stephen m ostrander,,
349,stephen ostrander,stephen m ostrander,,
350,t de witt thomas de witt talmage,t dewitt thomas de witt talmage,,
351,hall caine,t hall caine,,
352,hall caine,t hall caine,,
353,hall caine,t hall caine,,
354,thomas carlyle,t thomas carlyle,,
355,thomas carlyle,t thomas carlyle,,
356,thomas carlyle,t thomas carlyle,,
357,thomas carlyle,t thomas carlyle,,
358,thomas carlyle,t thomas carlyle,,
359,thomas carlyle,t thomas carlyle,,
360,thomas clarkson,t thomas clarkson,,
361,t tobias smollett,t tobias smollet,,
362,t tobias smollet,t tobias smollett,,
363,t tobias smollet,t tobias smollett,,
364,chekov,tchekhov,,
365,theodor mommsen,teodor mommzen,,
366,t theodor mommsen,theodor mommsen,,
367,t theodor mommsen,theodor mommsen,,
368,t thomas carlyle,thomas carlyle,,
369,t thomas carlyle,thomas carlyle,,
370,t thomas carlyle,thomas carlyle,,
371,t thomas carlyle,thomas carlyle,,
372,t thomas carlyle,thomas carlyle,,
373,t thomas carlyle,thomas carlyle,,
374,t thomas carlyle,thomas carlyle,,
375,t thomas carlyle,thomas carlyle,,
376,t thomas carlyle,thomas carlyle,,
377,t thomas carlyle,thomas carlyle,,
378,t thomas carlyle,thomas carlyle,,
379,t thomas cooper,thomas cooper,,
380,thomas dequincey,thomas de quincey,,
381,thomas de quincey,thomas dequincey,,
382,thomas de quincey,thomas dequincey,,
383,thomas f dixon,thomas dixon,,
384,thomas f dixon,thomas dixon,,
385,thomas kid,thomas kyd,,
386,thomas paine,thomas pain,,
387,thomas pain,thomas paine,,
388,thomas pain,thomas paine,,
389,t thomas stevens,thomas stevens,,
390,t thomas stevens,thomas stevens,,
391,tolstoi,tolst,,
392,tolstoi,tolst,,
393,tolstoi,tolst,,
394,tolst,tolstoy,,
395,tolst,tolstoy,,
396,vicente blasco ibez,vicente blasco ibanez,,
397,vicente blasco ibanez,vicente blasco ibez,,
398,vicente blasco ibanez,vicente blasco ibez,,
399,w harrison william harrison ainsworth,w harrison william harrison ainworth,,
400,walt whitman,walter whitman,,
401,walt whitman,walter whitman,,
402,w h g kingston,whg kingston,,
403,w h g kingston,whg kingston,,
404,w h g kingston,whg kingston,,
405,w h g kingston,whg kingston,,
406,w h g kingston,whg kingston,,
407,willa cather,willa catherov,,
408,willa catherov,willa catherova,,
409,william black,william blacker,,
410,w william blake,william blake,,
411,william de witt hyde,william dewitt hyde,,
412,william dunlap,william dunlop,,
413,w william finden,william finden,,
414,william henry hurlbert,william henry hurlburt,,
415,william hardy,william j hardy,,
416,william lleywelyn breese,william llywelyn breese,,
417,william morris,william m morris,,
418,william m morris,william morris,,
419,william m morris,william morris,,
420,william m morris,william morris,,
421,william m morris,william morris,,
422,william shakspere,william shakespeare,,
423,william shakspeare,william shakespeare,,
424,william shakspeare,william shakespeare,,
425,william shakspere,william shakespeare,,
426,william shakspere,william shakespeare,,
427,william shakspeare,william shakespeare,,
428,william shakspeare,william shakespeare,,
429,william shakspere,william shakespeare,,
430,william shakespeare,william shakspeare,,
431,william shakespeare,william shakspeare,,
432,william shakespeare,william shakspeare,,
433,william shakespeare,william shakspeare,,
434,william shakespeare,william shakspeare,,
435,william shakespeare,william shakspeare,,
436,william shakespeare,william shakspeare,,
437,william shakspere,william shakspeare,,
438,william shakespeare,william shakspeare,,
439,william shakespeare,william shakspeare,,
440,william shakespeare,william shakspeare,,
441,william shakespeare,william shakspeare,,
442,william shakespeare,william shakspeare,,
443,william shakespeare,william shakspeare,,
444,william shakspeare,william shakspere,,
445,william shakspeare,william shakspere,,
446,william shakspeare,william shakspere,,
447,william shakspeare,william shakspere,,
448,william shakspeare,william shakspere,,
449,william shakspeare,william shakspere,,
450,william shakespeare,william shakspere,,
451,william shakespeare,william shakspere,,
452,william shakespeare,william shakspere,,
453,william shakspeare,william shakspere,,
454,william shakespeare,william shakspere,,
455,william shakespeare,william shakspere,,
456,william shakspeare,william shakspere,,
457,william shakespeare,william shakspere,,
458,william shakspeare,william shakspere,,
459,zane gray,zane grey,,
460,zane gray,zane grey,,
