,author,contribution
6368,james_b_james_beardsley_hendryx,0.0382438347245
4316,friedrich_von_schiller,0.0381163022604
2246,constance_fenimore_woolson,0.038105850723
486,alfred_t_mahan,0.0380546302872
7438,johnny_ludlow,0.038001068628
920,arthur_b_arthur_benjamin_reeve,0.0379591636929
4506,george_cary_eggleston,0.0378145314072
12137,william_de_morgan,0.037770443306
1625,carolyn_wells_houghton,0.0376961465079
9693,peter_mark_roget,0.0376422390984
9818,queen_of_great_britain_victoria,0.0375238838349
3670,f_a_flora_annie_steel,0.037514360884
12257,william_hazlitt,0.0375058949412
8141,lord_thomas_babington_macaulay_macaulay,0.0374308671283
3708,f_hopkinson_francis_hopkinson_smith,0.0373233585452
10374,romain_rolland,0.0372887044876
5668,henry_wadsworth_longfellow,0.0372584068836
11277,thomas_jefferson,0.0372248493483
5529,henry_hallam,0.0371984439047
5976,irvin_shrewsbury_cobb,0.0371605397943
2456,david_masson,0.037073815743
6811,joel_chandler_harris,0.0369552036364
9166,mrs_george_de_horne_vaizey,0.0369246590679
1813,charles_garvice,0.0367596176366
1741,charles_cavendish_fulke_greville,0.03665122986
8019,lester_chadwick,0.0366166844667
5745,hermann_sudermann,0.0364507934775
4925,gordon_stables,0.0363455569678
832,anthony_hope_hawkins,0.0362418713951
4258,frederick_sadleir_brereton,0.0361299372084
4086,frank_lin,0.0360421857848
895,arlo_bates,0.0360137552323
7911,laura_e_richards,0.0359919729641
4020,francois_guizot,0.0359027792678
11078,teddy_roosevelt,0.0358979486423
12390,william_milligan_sloane,0.0358793472767
9865,r_h_jayne,0.0358481902363
9639,pearl_zane_gray,0.0358268821399
1014,arthur_sarsfield_ward,0.0358177740894
5270,harry_castlemon,0.0358138029003
5015,guy_thorne,0.0355011359737
10191,robert_burns,0.0354479299434
4938,grace_aguilar,0.0354011943828
7493,joseph_conrad_theodore_korzeniowski,0.0353769523481
7486,joseph_c_lincoln,0.0353603662128
8631,martha_finley,0.0353377936581
4488,george_bernard_shaw,0.0352747683196
10387,rosa_nouchette_carey,0.0352210782388
12223,william_guthrie,0.0351908991778
3950,francis_colburn_adams,0.0351542101327
9708,petrus_gualterus,0.0351537162037
2074,cheviot_ticheburn,0.0350680195247
1011,arthur_quillercouch,0.0350431353824
1931,charles_norris_williamson,0.0349898305662
2843,edith_van_dyne,0.0348848805354
10309,robert_s_robert_smythe_hichens,0.0348586232705
1701,charles_alden_seltzer,0.0347840696294
5684,henry_wood,0.0347794958469
4371,g_k_gilbert_keith_chesterton,0.0347690937025
10821,sir_hugh_walpole,0.0346688261184
8489,margaret_penrose,0.0346090607111
12596,xenophon,0.0345937093982
11990,wilhelmine_von_hillern,0.0345609816636
6173,j_j_jeanjacques_rousseau,0.0345547482798
2234,compton_mackenzie,0.0345281255075
5975,irvin_s_irvin_shrewsbury_cobb,0.034516478662
10640,samuel_taylor_coleridge,0.0345129618876
8969,meriwether_lewis,0.0344538682238
1279,bernard_heldmann,0.0344305053828
10036,rex_beach,0.0344179200722
10102,richard_horatio_edgar_wallace,0.0343651684565
4865,gilbert_keith_chesterton,0.0343616615607
6054,j_a_john_addington_symonds,0.0343527115675
8496,margaret_sidney,0.0343028741328
6457,james_gillespie_blaine,0.0342295750714
9181,mrs_isabella_mary_beeton,0.0341901397811
5025,h_a_hiram_alfred_cody,0.0341296038446
3906,frances_mary_peard,0.0341123262087
9198,mrs_margaret_oliphant,0.0340356684301
8702,mary_cholmondeley,0.0340323689845
10853,somadeva_bhatta,0.0338853065683
5894,hugh_stowell_scott,0.0338798733494
3068,edward_sylvester_ellis,0.0337760988695
4004,francis_richard_stockton,0.0337520642851
1126,b_l_benjamin_leopold_farjeon,0.033649751835
4886,giovanni_boccacci,0.0336173303363
6812,joel_cook,0.0335320584362
5834,horatio_walpole,0.0334625626279
871,archer_butler_hulbert,0.0333217138383
7909,laura_bancroft,0.0332826045412
4116,frank_v_webster,0.0332708687885
6738,jeffery_farnol,0.0332284600458
2924,edward_bellamy,0.0331747798437
11080,temple_bailey,0.0331381105558
10252,robert_hichens,0.0331003052312
6513,james_joseph_walsh,0.033055980044
2955,edward_f_edward_frederic_benson,0.0329569472824
4080,frank_l_frank_lucius_packard,0.032954606059
8485,margaret_murray_robertson,0.0327928541947
1185,basil_windham,0.0327044507848
12219,william_gordon_stables,0.0326215497439
615,amelia_edith_huddleston_barr,0.0325543161303
8438,marah_ellis_ryan,0.0324318908919
10714,sax_rohmer,0.0324051594552
3158,eleanor_hodgman_porter,0.0323468758349
8456,marcus_tullius_cicer,0.0323336978095
2889,edna_ferber,0.032326446932
10053,richard_bernard_heldman,0.0322678175614
6844,john_a_john_ambrose_mchugh,0.0322354750914
10192,robert_burton,0.0322216352012
8119,livius_livy,0.0321634701239
8513,margaretta_wade_campbell,0.0321212787099
11478,united_states_copyright_office_library_of_congress_register_of_copyrights,0.0320899240979
31,a_c_arthur_christopher_benson,0.0320794725605
9610,paul_johann_ludwig_von_heyse,0.0320778524735
5615,henry_r_henry_rowe_schoolcraft,0.0320754717358
12003,willa_cather,0.0320710658892
3292,elizabeth_thomasina_meade,0.0320056301772
8542,maria_thompson_daviess,0.0319730506213
9463,orison_swett_marden,0.0319174342175
8687,mary_augusta_arnold,0.0318952074131
4663,george_muller,0.0318861685127
7526,joseph_hergesheimer,0.0318830863958
5332,havelock_ellis,0.031838869873
9503,ouida,0.0318219281088
4246,frederick_niecks,0.0317914032975
11295,thomas_malory,0.0317581124838
1372,bram_stoker,0.0317308377252
12470,william_sleeman,0.0316743421278
865,aquinas_thomas,0.0316232204778
11554,victor_hug,0.031622933999
11123,theodore_roosevelt,0.0315986722072
142,aaron_burr,0.0315983560927
985,arthur_lee_putnam,0.0315836370089
743,anna_katharine_green_rohlfs,0.0315822737649
11057,t_s_timothy_shay_arthur,0.0315499708092
4055,frank_forester,0.031539539029
